country,res,progress,final,start,peak,floor,beta,mu
JP,0.0942038211469814,1.0,16315.999997674318,2020-04-04,2020-04-15,2020-05-03,11.456113951714388,105.273873166435
RU,0.020092384953617197,0.3823786243715845,736082.7734447656,2020-04-01,2020-05-17,2020-09-11,25.161277328678516,137.95808369191474
US,0.34306549328000574,0.8604302760564436,1728634.0546900362,2020-03-14,2020-04-17,2020-07-16,17.8949600422909,107.54298890602142
BR,0.054986478063802496,0.12315255404041774,1945821.7445822726,2020-03-30,2020-06-22,,44.993732684601326,173.06798305047576
AT,4.022900704511298,0.9944464648282186,16248.40274202132,2020-03-06,2020-03-27,2020-05-17,11.719648584394871,86.2809434691723
CH,0.17909055831028484,0.9925157835466443,30729.234240087248,2020-03-06,2020-03-27,2020-05-23,11.111851599091244,86.88091180983548
DE,0.3348772561012483,0.9746127645174079,179324.38340170626,2020-03-08,2020-04-02,2020-05-31,13.477788986059023,92.08765346191694
IT,0.07907593357425313,0.9512801270633755,236896.72932135806,2020-02-28,2020-03-30,2020-06-18,16.74286484312876,89.29422140829666
ES,0.43755388905418346,0.9799133644397491,235950.4505779977,2020-03-05,2020-03-30,2020-06-07,12.956406508399876,89.34014113680217
PT,0.43661743389520735,0.9528953775644562,30445.9794231116,2020-03-12,2020-04-08,2020-06-14,14.43946543315616,98.2753718868515
FR,0.21291585810350946,0.9632312917526967,147989.03150105893,2020-03-08,2020-04-02,2020-06-04,14.206207596577276,92.97700348473005
SE,0.12149484417119011,0.6862230143635829,43803.77960799457,2020-03-06,2020-04-23,2020-08-19,26.74152899873768,113.82531462006368
NO,0.4930925562252372,0.9804667233886454,8378.662722907777,2020-03-04,2020-03-27,2020-05-22,13.762060008797524,86.83554414285692
DK,0.6409113242016018,0.8869202735355288,12310.470044407106,2020-03-05,2020-04-08,2020-06-24,19.362736733399025,97.9999598300889
BE,0.22980506705460718,0.926048865148471,59679.98349626662,2020-03-09,2020-04-08,2020-06-28,15.704304463490091,98.41014421837441
NL,0.12849213610796137,0.9393212243064529,46837.27758620449,2020-03-09,2020-04-05,2020-06-14,15.350364680622981,95.94349422632914
NZ,0.5469405326491715,1.0,1110.5000000000005,2020-03-20,2020-03-29,2020-04-17,6.436726859466571,88.82415670472855
