iso2,cname,iso3,ccont,popdata,res,progress,final,start,peak,floor,beta,mu
US,United_States_of_America,USA,America,327167434.0,0.4843358751834284,0.8748863355635351,1875847.9194703377,2020-03-13,2020-04-22,2020-08-11,19.550013946847383,112.70889654853089
UK,United_Kingdom,GBR,Europe,66488991.0,0.05916065471144665,0.8525872993697364,304194.57146334316,2020-03-14,2020-04-22,2020-08-08,19.796481472664574,113.07371736587201
BR,Brazil,BRA,America,209469333.0,0.06164356721994032,0.10176021557428917,3544537.8634678894,2020-03-27,2020-07-10,2021-05-04,51.239090535186534,192.094374309121
CH,Switzerland,CHE,Europe,8516543.0,0.21786175277097358,0.9956932477754478,30782.429439322033,2020-03-07,2020-03-30,2020-06-04,11.365640413736834,89.78126602080194
DE,Germany,DEU,Europe,82927922.0,0.5528660134721204,0.9817695131164795,181886.74098871023,2020-03-08,2020-04-05,2020-06-16,14.21754255905627,95.50058490585242
IT,Italy,ITA,Europe,60431283.0,0.07774560199444412,0.9673741908191873,237417.5097961915,2020-02-28,2020-04-01,2020-07-03,16.88190230936068,92.39505183056723
ES,Spain,ESP,Europe,46723749.0,0.7077483072975025,0.9871487957069034,238399.57883383115,2020-03-05,2020-04-02,2020-06-22,13.59595006544254,92.68423015548288
PT,Portugal,PRT,Europe,10281762.0,0.8791385104920765,0.9591962933336992,31907.51636663349,2020-03-11,2020-04-12,2020-07-05,16.029893091523096,102.64564499814475
FR,France,FRA,Europe,66987244.0,0.17827072547210104,0.9768224250315,148445.75548358136,2020-03-08,2020-04-05,2020-06-17,14.447155901631794,95.96264242776044
SE,Sweden,SWE,Europe,10183175.0,0.1281621495144311,0.7340412276141906,45734.85210199723,2020-03-05,2020-04-27,2020-09-15,27.531488322155074,118.09034338231527
NO,Norway,NOR,Europe,5314336.0,0.5131147681218566,0.9884134669702253,8425.334704554622,2020-03-04,2020-03-30,2020-06-05,14.209128902290185,89.93420293171218
DK,Denmark,DNK,Europe,5797446.0,0.3688782222817793,0.9157054856379433,12380.150164248264,2020-03-04,2020-04-10,2020-07-12,19.847957074706652,101.00639164041239
BE,Belgium,BEL,Europe,11422068.0,0.2259835213255833,0.9524006043623228,59854.31493099388,2020-03-09,2020-04-10,2020-07-12,15.935032547168612,101.4228725623592
NL,Netherlands,NLD,Europe,17231017.0,0.1411149752194144,0.9636361477175501,46947.03208248803,2020-03-09,2020-04-08,2020-06-28,15.571825359701757,98.94064289842902
NZ,New_Zealand,NZL,Oceania,4885500.0,0.01822344474294818,1.0286698735990014,1078.5078866429908,2020-03-22,2020-04-01,2020-04-22,5.68285414839859,91.60277639120983
CN,China,CHN,Asia,1392730000.0,0.04291503870056593,0.8558240829765955,98221.45390197501,2020-02-03,2020-02-13,2020-03-01,8.707153579385855,43.4852547476065
JP,Japan,JPN,Asia,126529100.0,0.02941705686261619,1.0931801433878985,15172.639817647269,2020-04-04,2020-04-17,2020-05-11,10.053574178324027,107.58216467934031
RU,Russia,RUS,Europe,144478050.0,0.025060298252174738,0.5031030000955494,684555.4936079247,2020-03-31,2020-05-18,2020-09-25,24.500865801047233,139.45906418736655
AT,Austria,AUT,Europe,8847037.0,2.3402057486151415,1.0430443373463545,15751.967017816454,2020-03-10,2020-03-28,2020-05-17,9.444573554963284,88.06909611107123
